---Movies by imdb rating catogary---
rating_category	movie_count
Drama|Thriller|War	19396462
Action|Western	13264986
Action|Adventure|Family|Sci-Fi	27312265
Adventure|Biography|Drama|Thriller	65200877
Drama|Romance|War|Western	67159621
Action|Comedy|Crime|Western	25529689
Action|Adventure|Comedy|Drama|Thriller	11227940
Drama|Music|Romance	373388459
Action|Adventure|Crime|Drama|Thriller	34014398
Adventure|Comedy|Family|Sport	150006955
Comedy|Drama|Fantasy	125082975
Comedy|Family|Sport	170834976
Action|Adventure|Drama|Family	99462
Action|Comedy|War	110829689
Drama|Family|Sport	138426093
Action|Thriller|Western	18636537
Action|Drama|Fantasy|Horror|Thriller	10956379
Animation|Comedy|Family|Fantasy|Musical	10054099
Action|Adventure|Comedy|Fantasy|Romance	25529689
Action|Crime|Drama|Mystery|Sci-Fi|Thriller	14268533
Adventure|Comedy|Crime|Drama	59073773
Drama|Mystery	101131089
Comedy|Fantasy|Horror|Thriller	74153033
Crime|Drama|Mystery|Sci-Fi|Thriller	44983704
Comedy|Crime|Musical	170684505
Comedy|Drama|Family|Music|Romance	84772214
Comedy|Horror|Romance	66362923
Comedy|Family|Fantasy|Sport	51432423
Animation|Comedy|Family|Mystery|Sci-Fi	92765308
Adventure|Comedy|Drama|Family|Sport	49186871
Animation|Drama|Family|Fantasy|Musical|Romance	53337608
Comedy|Horror|Musical|Sci-Fi	38747385
Crime|Drama|Sport	38432823
Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller	31743332
Action|Adventure|Crime|Drama|Romance	17100000
Action|Comedy|Horror	49034879
Adventure|Horror|Thriller	140573417
Adventure|Fantasy|Mystery	7689458
Action|Drama|Romance|Sport	3101301
Biography|Crime|Drama|History|Western	3904982
Action|Biography|Crime|Drama	1013850
Adventure|Animation|Fantasy	27827880
Adventure|Animation|Comedy|Fantasy	25529689
Biography|Drama|Music|Romance	124325102
Biography|Comedy|Crime|Drama|Romance|Thriller	25529689
Biography|Crime|Drama|History|Music	161029270
Adventure|Animation|Comedy|Drama|Family|Musical	126063034
Biography|Comedy|Drama|Music|Romance	25529689
Adventure|Animation|Sci-Fi	25529689
Drama|Romance|Thriller	267099952
Action|Fantasy|Horror|Thriller	77381050
Adventure|Biography	31600000
Documentary	10762178
Action|Comedy|Family	36052828
Action|Horror|Romance	10907291
Adventure|Drama|History|Romance|Thriller|War	25529689
Action|Comedy|Crime|Music	54200000
Comedy|Drama|Family|Romance	398133875
Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller	14337579
Adventure|Family|Fantasy|Horror|Mystery	25529689
Action|Crime|Drama|History|Western	10297897
Comedy|Crime|Drama	352702625
Comedy|Family|Fantasy|Music|Romance	110222438
Adventure|Comedy|Crime|Music	45506619
Action|Adventure|Comedy|Sci-Fi|Thriller	36985501
Action|Crime|Drama|Western	33200000
Action|Adventure|Comedy|Family|Romance|Sci-Fi	23222861
Action|Fantasy|Romance|Sci-Fi	13829734
Comedy|Crime|Mystery|Romance	7496522
Adventure|Family	73844236
Action|Drama|Music|Romance	121945720
Adventure|Comedy|Family|Fantasy|Horror|Mystery	84185387
Adventure|Fantasy|Mystery|Thriller	29780009
Action|Biography|Drama|History|Romance|Western	56505065
Fantasy|Horror|Mystery	25603237
Biography|Drama|Family	51676606
Action|Adventure|Comedy|Crime|Family|Romance|Thriller	47285499
Drama|Romance|Sci-Fi	98848328
Comedy|Fantasy|Horror|Romance	52268960
Comedy|Family|Music	29247405
Action|Comedy|Music	25615792
Adventure|Comedy|Crime	25590119
Biography|Comedy|Drama|Sport	15785632
Fantasy|Horror|Thriller	249675381
Comedy|Drama|Romance|Thriller	55233211
Adventure|Comedy|Family|Romance	122128208
Adventure|Family|Fantasy|Musical	16155819
Biography|Crime|Drama|History|Thriller	1865774
Crime|Drama|History	11538204
Biography|Drama|Thriller|War	102152415
Drama|Music|Mystery|Romance|Thriller	10719367
Action|Adventure|Fantasy|Horror	1550000
Crime|Drama|Mystery|Romance	85433
Action|Adventure|History|Romance	25529689
Action|Drama|Western	1512815
Comedy|War	102216109
Adventure|Comedy|Family|Fantasy|Music|Sci-Fi	16290976
Adventure|Family|Fantasy|Music|Musical	13000000
Action|Adventure|Animation|Comedy|Fantasy	669276
Adventure|Comedy|Horror|Sci-Fi	75590286
Horror|Sci-Fi	106883095
Biography|Comedy|Drama|Family|Sport	11508423
Action|Crime|Drama|Thriller|Western	52161370
Action|Drama|History	25529689
Drama|Fantasy|Romance|Thriller	217631306
Thriller	28637905
Comedy|Mystery	76726469
Comedy|Drama|Musical|Romance|War	5000000
Drama|History|Music|Romance|War	1050445
Comedy|History	634277
Adventure|Animation|Family|Sport	25529689
Animation|Comedy|Fantasy|Musical	52008288
Action|Comedy|Documentary	189979788
Adventure|Comedy|Drama|Family|Romance	94497271
Adventure|Comedy|Drama|Family|Mystery	67325559
Drama|Family|Music|Romance	62933793
Fantasy|Romance	81892041
Adventure|Animation|Family|Musical	47887943
Animation|Comedy|Drama|Family|Musical	45542421
Biography|Crime|Drama|History	44988180
Adventure|Comedy|Fantasy|Music|Sci-Fi	38037513
Comedy|Drama|Musical|Romance|Western	25529689
Action|Adventure|Drama|Mystery	36874745
Comedy|Crime|Family|Mystery|Romance|Thriller	25584685
Action|Adventure|Drama|Romance|Western	21413105
Adventure|Crime|Mystery|Sci-Fi|Thriller	28876924
Crime|Drama|Western	22107728
Adventure|Comedy|Drama|Fantasy	56181111
Adventure|Biography|Drama	56230413
Adventure|Drama|Horror|Mystery|Thriller	17529157
Crime|Fantasy|Horror	25753840
Animation|Family|Fantasy|Mystery	18081626
Action|Comedy|Crime|Fantasy	137043399
Comedy|Family|Music|Musical	16988996
Crime|Documentary|News	14359793
